dimension,n,human_human_weighted_kappa,human_f4_weighted_kappa,pass_threshold,passes_threshold,A_distribution,B_distribution,consensus_distribution,F4_distribution
ER,40,0.041,0.000,0.400,no,"{""0"": 0, ""1"": 37, ""2"": 3}","{""0"": 7, ""1"": 19, ""2"": 14}","{""0"": 0, ""1"": 24, ""2"": 16}","{""0"": 0, ""1"": 0, ""2"": 40}"
IP,40,-0.032,0.000,0.400,no,"{""0"": 6, ""1"": 23, ""2"": 11}","{""0"": 0, ""1"": 11, ""2"": 29}","{""0"": 0, ""1"": 11, ""2"": 29}","{""0"": 0, ""1"": 0, ""2"": 40}"
EX,40,0.477,0.199,0.600,no,"{""0"": 9, ""1"": 21, ""2"": 10}","{""0"": 2, ""1"": 30, ""2"": 8}","{""0"": 1, ""1"": 29, ""2"": 10}","{""0"": 22, ""1"": 12, ""2"": 6}"
